OBJECTID;CODE_VOIE;NOM_VOIE;TYPE_AMENAGEMENT;REALISATION;CIRCUL2R;CIRCVOIT;AFFECTATION;TOURNGAUCHE;SHAPE.LEN
71066;;  ;Bande;2015;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;14.044742788673599
57701;21628;Route de Saint-Julien;Bande;1997;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;24.7292115163612
73309;12599;Route d' Hermance;Piste;1997;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;167.96975010455603
75864;;  ;Piste;2015;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;357.195746632707
75862;;  ;Piste;2002;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;174.092093930792
75554;;  ;Piste;2015;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;26.401592754983596
75553;;  ;Piste;2015;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;71.2995632827994
59872;60160;  Voie-Centrale;Bande;2012;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;179.124512179014
75552;;  ;Piste;2015;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;259.156707302444
55612;02968;Rue Paul- BOUCHET;Bande;2010;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;24.322789724865
75557;;  ;Bande;2002;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;21.1705101497342
75231;;  ;Bande;2015;bidirectionnelle;;vélos + cyclomoteurs;;8.72708427826843
75225;;  ;Piste;2015;bidirectionnelle;;vélos + cyclomoteurs;;37.0334266912475
75546;;  ;Bande;2015;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;75.33918804977289
57080;14796;Route du Mandement;Bande;2010;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;94.1856597387255
75236;14796;Route du Mandement;Piste;2003;bidirectionnelle;;vélos + cyclomoteurs;;165.683787882588
55729;03921;Rue  Caroline;Piste;1994;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;112.752414373749
82912;06483;Route de Collex;Piste;2010;bidirectionnelle;dans le sens;mixité piétons;;177.822896423764
56538;11932;Avenue des Grandes-Communes;Bande; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;32.344311710098296
55288;00841;Avenue Louis- AUBERT;Bande;1985;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;25.464453656028002
83546;;  ;Bande;2016;unidirectionnelle;;vélos + cyclomoteurs;;5.48810531968912
58168;24988;Quai des Vernets;Piste;2012;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;217.168621188966
57817;22233;Chemin des Sellières;Bande; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;110.52397682075201
55424;06483;Route de Collex;Piste;2006;bidirectionnelle;;mixité piétons;;131.419315095469
56426;10570;Chemin du Foron;Bande;2008;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;141.325071142732
85467;01490;Avenue du Curé- BAUD;Piste; ;bidirectionnelle;;vélos + cyclomoteurs;;144.146438329984
55527;01759;Avenue de Bel-Air;Bande;2010;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;40.038074379270505
55578;02534;Route du Bois-des-Frères;Piste;1989;bidirectionnelle;dans le sens;mixité piétons;;134.274142510793
81942;13315;Route de Jussy;Piste;1991;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;47.5640084517695
57272;15725;Place du Molard;Dérogation 2R;2009;bidirectionnelle; ;au statut de la rue : vélos seuls;;114.10923823746
86424;;  ;Piste;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;26.5697572439042
55801;04766;Route de Chancy;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;138.302004570111
56035;06483;Route de Collex;Piste;2010;unidirectionnelle;dans le sens;mixité piétons;;129.446335355866
85793;;  ;Piste;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;160.19066427972902
56480;10979;Avenue  De-GALLATIN;Bande;2006;unidirectionnelle;contresens;vélos + cyclomoteurs;;104.050754326936
57021;14605;Route de Malagnou;Bande;1988;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;49.4622896760755
55105;00086;Route des Acacias;Bande;2004;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;145.52584837993
57816;22233;Chemin des Sellières;Bande; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;13.9588609850518
57046;14605;Route de Malagnou;Piste;1991;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;150.594968375441
58043;23051;Route de Suisse;Piste; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;353.973326625087
81948;02534;Route du Bois-des-Frères;Piste;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;6.69054763313637
55112;00086;Route des Acacias;Bande;2004;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;58.925158174629495
57818;22233;Chemin des Sellières;Bande; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;195.219101943625
56210;08524;Rue des Deux-Ponts;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;109.08473185774201
58665;62073;Rue  SONNEX;Dérogation 2R;2011;bidirectionnelle; ;mixité piétons;;208.98471650567
57003;14605;Route de Malagnou;Piste;1988;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;38.014998160335196
78745;;  ;Sas;2016;;;;OUI;2.07713745332368
57821;22233;Chemin des Sellières;Piste; ;bidirectionnelle;;mixité piétons;;113.34682849215
87065;;  ;Dérogation 2R;2016;unidirectionnelle;dans le sens;mixité piétons;;39.719582034609694
81305;;  ;Bande;2015;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;142.961576071766
55066;;  ;Bande;2012;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;26.297151670474598
84183;;  ;Piste;;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;43.0728018307048
55794;04766;Route de Chancy;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;12.688648470187799
57273;15776;Rue du Môle;Contresens;2000;; ;vélos + cyclomoteurs;;34.80017843368319
91863;;  ;Contresens;2016;unidirectionnelle;contresens;vélos + cyclomoteurs;;132.582286359146
91864;;  ;Bande;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;340.737701436677
93145;;  ;Bande;2012;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;64.70133383478269
93148;;  ;Bande;2012;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;150.89321687869202
93149;;  ;Bande;2012;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;76.0504309027905
93150;;  ;Bande;2012;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;43.347407888909494
83862;;  ;Bande;2016;unidirectionnelle;;;;94.5883022076653
93151;11690;Chemin de la Gradelle;Bande; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;93.4177645420278
57746;21628;Route de Saint-Julien;Piste;1995;bidirectionnelle;dans le sens;mixité piétons;;116.73772261056
56509;11690;Chemin de la Gradelle;Bande; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;103.097289234957
56722;13153;Route des Jeunes;Bande;2002;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;218.14801199423502
56732;13153;Route des Jeunes;Bande;2008;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;29.1396310889483
91865;;  ;Bande;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;132.74804717899102
91866;;  ;Bande;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;33.119402588580904
91868;;  ;Bande;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;17.287605386519
56508;11690;Chemin de la Gradelle;Bande; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;188.299885660249
56699;13048;Boulevard Emile- JAQUES-DALCROZE;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;50.4002239802675
96982;;  ;Dérogation 2R;2011;bidirectionnelle;;mixité piétons;;81.1413236273602
96984;;  ;Dérogation 2R;2011;bidirectionnelle;;mixité piétons;;312.20940263815703
91869;;  ;Piste;2016;unidirectionnelle;dans le sens;mixité piétons;;326.732355861114
96985;;  ;Dérogation 2R;2011;bidirectionnelle;;mixité piétons;;184.507346737196
96987;21628;Route de Saint-Julien;Piste;1995;bidirectionnelle;dans le sens;mixité piétons;;58.636537937132495
57703;21628;Route de Saint-Julien;Bande;2001;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;119.44808495744101
57704;21628;Route de Saint-Julien;Bande;2001;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;40.182475035766494
88024;;  ;Sas;;unidirectionnelle;dans le sens;vélos + cyclomoteurs;OUI;4.46816517152175
58561;54879;Rue  LE-CORBUSIER;Dérogation 2R;1987;bidirectionnelle;dans le sens;au statut de la rue;;275.574116230838
57702;21628;Route de Saint-Julien;Bande;2001;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;110.750597741051
56702;13048;Boulevard Emile- JAQUES-DALCROZE;Bande;2001;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;21.1146820956414
57101;14990;Rue  MARIGNAC;Contresens;1992;unidirectionnelle; ;vélos + cyclomoteurs;;39.4864331131593
58074;23493;Rue de la Terrassière;Bande;1989;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;44.0777823852335
57078;14796;Route du Mandement;Bande;2010;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;559.170479818827
55622;03468;Rue des Buis;Contresens;2009;unidirectionnelle; ;vélos + cyclomoteurs;;69.7993085726817
57067;14796;Route du Mandement;Bande;2010;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;266.561016769756
57862;22330;Quai du Seujet;Dérogation 2R;1995;bidirectionnelle; ;au statut de la rue : vélos seuls;;88.73629115161849
92182;;  ;Dérogation 2R;2016;bidirectionnelle;;;;1.9920090361240799
87707;;  ;Bande;2015;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;19.162677265977198
81306;;  ;Piste;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;46.1111498092867
87706;;  ;Piste;2016;unidirectionnelle;dans le sens;mixité piétons;;148.489150904306
87711;;  ;Bande;2015;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;15.9613188678129
81308;;  ;Piste;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;39.6807522610144
87712;;  ;Piste;2016;unidirectionnelle;dans le sens;mixité piétons;;22.0328825866052
81954;;  ;Piste;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;125.387231923868
87713;;  ;Piste;2016;unidirectionnelle;dans le sens;mixité piétons;;22.881006793540898
55574;02534;Route du Bois-des-Frères;Piste;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;69.031430522625
55573;02534;Route du Bois-des-Frères;Piste;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;131.554825815551
96024;11827;Rue du Grand-Pré;Bande;2017;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;43.037159096494
96034;01511;Rue  BAULACRE;Sas;2017;unidirectionnelle;dans le sens;;;4.009638387685349
87703;;  ;Piste;2016;unidirectionnelle;dans le sens;mixité piétons;;148.006485316434
87702;;  ;Piste;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;90.7087323037175
63703;;  ;Piste;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;14.875651246248001
96029;11827;Rue du Grand-Pré;Piste;2017;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;56.103972632864895
96032;11827;Rue du Grand-Pré;Piste;2017;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;93.82766759072229
93784;;  ;Dérogation 2R;2013;bidirectionnelle;;au statut de la rue : vélos seuls;;71.0792184819164
87715;;  ;Piste;2016;bidirectionnelle;;mixité piétons;;4.993796151226039
55721;03905;Avenue Cardinal- MERMILLOD;Sas;2008;unidirectionnelle;dans le sens;vélos + cyclomoteurs;NON;3.50351252316871
87714;;  ;Piste;2016;bidirectionnelle;;mixité piétons;;8.65043929520345
96030;11827;Rue du Grand-Pré;Bande;2017;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;2.65224433263604
96027;11827;Rue du Grand-Pré;Piste;2017;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;93.2613838459116
93785;;  ;Dérogation 2R;2016;bidirectionnelle;;au statut de la rue : vélos seuls;;45.788702755155704
55724;03905;Avenue Cardinal- MERMILLOD;Sas;2008;unidirectionnelle;dans le sens;vélos + cyclomoteurs;OUI;3.49509656518958
58537;54011;Place de l' Octroi;Bande;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;62.854497062267896
96028;11827;Rue du Grand-Pré;Bande;2017;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;15.7159091369224
58540;54011;Place de l' Octroi;Sas;2008;unidirectionnelle;dans le sens;vélos + cyclomoteurs;OUI;2.99816610613888
88022;;  ;Piste;2016;bidirectionnelle;;mixité piétons;;10.4878453459231
87717;;  ;Piste;2016;bidirectionnelle;;mixité piétons;;9.031688657167049
96031;11827;Rue du Grand-Pré;Bande;2017;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;110.816478357889
96033;11827;Rue du Grand-Pré;Sas;2017;unidirectionnelle;dans le sens;;;3.9302162790360495
88023;;  ;Bande;2016;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;111.085697590547
55986;05665;Quai du Cheval-Blanc;Bande;2013;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;322.41091140811204
93788;;  ;Dérogation 2R;;;;;;43.432514318192496
93789;;  ;Dérogation 2R;;unidirectionnelle;;au statut de la rue : vélos seuls;;25.7886176442244
93787;;  ;Dérogation 2R;;unidirectionnelle;;au statut de la rue : vélos seuls;;63.5419672342618
93786;;  ;Dérogation 2R;;unidirectionnelle;;au statut de la rue : vélos seuls;;43.6126655647206
58165;24813;Rue  Verdaine;Dérogation 2R;2010;bidirectionnelle; ;au statut de la rue : vélos seuls;;49.3645596332858
58523;52019;Route de Meinier;Bande;2005;unidirectionnelle;dans le sens;vélos + cyclomoteurs;NON;165.542184423683
55731;03956;Rue de Carouge;Piste;2014;unidirectionnelle;contresens;vélos + cyclomoteurs;;22.262868188982296
63068;;  ;Bande;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;NON;276.29703390675303
96342;90131;Pont de Carouge;Piste;2017;unidirectionnelle;dans le sens;mixité piétons;;85.7366776871035
96344;05665;Quai du Cheval-Blanc;Piste;2017;unidirectionnelle;dans le sens;mixité piétons;;13.192182039850199
96345;90131;Pont de Carouge;Piste;2017;unidirectionnelle;dans le sens;mixité piétons;;84.22406283640919
96349;;  ;Bande;2012;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;3.64676569030696
55090;;  ;Piste;2012;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;73.50751297731789
56283;09113;Quai Ernest- ANSERMET;Piste;2013;bidirectionnelle; ;vélos + cyclomoteurs;;165.51946325265
96346;03816;Quai  CAPO-d'ISTRIA;Sas;2017;unidirectionnelle;contresens;vélos + cyclomoteurs;OUI;2.0082330542046196
55091;;  ;Piste;2012;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;72.0067292969755
93146;;  ;Bande;2012;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;34.5769301702739
96352;;  ;Bande;2017;bidirectionnelle;;vélos + cyclomoteurs;;6.5175759025751
57856;22330;Quai du Seujet;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;99.4823045405163
57857;22330;Quai du Seujet;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;33.0309264175257
57762;21806;Avenue  Sainte-Cécile;Bande;2012;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;51.0253446828143
96353;;  ;Bande;2017;bidirectionnelle;;vélos + cyclomoteurs;;4.5431483380197095
56282;09113;Quai Ernest- ANSERMET;Piste;2012;bidirectionnelle;dans le sens;vélos + cyclomoteurs;;18.8486657352716
58167;24988;Quai des Vernets;Piste;1999;bidirectionnelle; ;vélos + cyclomoteurs;;89.5602088415535
58685;90018;Pont des Acacias;Piste;2004;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;86.39790655662539
57858;22330;Quai du Seujet;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;146.6135868393
96356;22330;Quai du Seujet;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;40.8308430516253
96664;20648;Quai du Rhône;Piste;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;26.5466731881622
57570;20648;Quai du Rhône;Piste;2008;unidirectionnelle;dans le sens;mixité piétons;;112.356546920118
55555;02127;Avenue François- BESSON;Bande;2013;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;95.3210155462614
57575;20648;Quai du Rhône;Piste;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;59.3661285647368
58032;22993;Rue du Stand;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;17.237264864241098
96357;;  ;Piste;2017;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;321.689809388094
57761;21806;Avenue  Sainte-Cécile;Bande;2012;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;129.131169384752
58036;22993;Rue du Stand;Piste;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;164.16646840464702
58027;22993;Rue du Stand;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;13.727206562152398
57760;21806;Avenue  Sainte-Cécile;Bande;2012;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;125.065256602836
90582;;  ;Bande;2017;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;29.009194572837597
56698;13048;Boulevard Emile- JAQUES-DALCROZE;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;70.4530428993149
56577;12254;Rue  De-GRENUS;Bande;2011;unidirectionnelle;contresens;vélos + cyclomoteurs;;41.798106329635004
92827;26779;  ;Bande;2007;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;77.0401952971415
56916;13781;Route de l' Etraz;Bande;2004;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;386.987499685781
57892;22640;Route de Soral;Piste;1982;bidirectionnelle;dans le sens;vélos + cyclomoteurs;;381.962289826726
56917;13781;Route de l' Etraz;Bande;2004;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;387.53363573602206
92822;26779;  ;Bande;2007;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;37.1409060201821
93462;13048;Boulevard Emile- JAQUES-DALCROZE;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;23.5762698491513
92828;26779;  ;Bande;2007;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;34.5731722401266
58408;26779;  ;Bande;2007;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;119.929493795044
55271;00698;Rue de l' Arquebuse;Piste;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;66.3226795514949
58409;26779;  ;Bande;2007;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;142.587635646237
56414;10499;Quai des Forces-Motrices;Contresens;1993;; ;vélos + cyclomoteurs;;100.30710350414901
92824;26779;  ;Bande;2007;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;15.569226056551399
57403;17272;Rue des Pâquis;Bande;1989;unidirectionnelle;contresens;vélos + cyclomoteurs;;39.4301096971402
92829;26779;  ;Bande;2007;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;84.5860218262257
92825;26779;  ;Bande;2007;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;69.1923831716735
58410;26779;  ;Bande;2007;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;140.757602191303
56912;13781;Route de l' Etraz;Bande;2004;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;335.161302944158
92826;26779;  ;Bande;2007;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;40.363441706699604
58411;26779;  ;Bande;2007;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;116.17911914096901
55945;05266;Rue  De-CHÂTEAUBRIAND;Dérogation 2R;2004;bidirectionnelle; ;au statut de la rue;;162.856568442417
92823;26779;  ;Bande;2007;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;32.99522692754209
56910;13781;Route de l' Etraz;Bande;2004;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;337.604673308756
57404;17272;Rue des Pâquis;Bande;1989;unidirectionnelle;contresens;vélos + cyclomoteurs;;93.2775386945867
92830;26779;  ;Bande;2007;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;80.8035389868314
58600;56189;Route de l' Uche;Bande;2010;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;98.70068072786079
56510;11711;Rue du Grand-Bureau;Bande;1997;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;39.9689592747187
92831;56189;Route de l' Uche;Bande;2010;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;44.3323328222261
58597;56189;Route de l' Uche;Bande;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;127.84702317953301
